DadoBrutoInt_ComSinal;DadoReal
-75625491841;-281,72691107168794
-76658353659;-285,5746211819351
-77681128348;-289,3847538083792
-78731156593;-293,29641384258866
-79739830678;-297,0540176257491
-80759350617;-300,8520253635943
-81783158579;-304,66600723192096
-82768687887;-308,33739000186324
-83783415247;-312,1175439916551
-84767233582;-315,78255289047956
-85737884930;-319,39851094037294
-86739565793;-323,1300629414618
-87695004666;-326,6893501058221
-88665308225;-330,30401254072785
-89644969275;-333,95353434607387
-90587417123;-337,4644261710346
-91567255222;-341,11460753530264
-92516150794;-344,6495190039277
-93451077268;-348,1323915272951
-94418664834;-351,7369360998273
-95329785687;-355,13112577423453
-96253046102;-358,57053884118795
-97183426572;-362,0364761799574
-98070686365;-365,3417764790356
-99000853424;-368,80691879987717
-99896912005;-372,14499713853
-100779292803;-375,4321217648685
-101702153491;-378,8700457327068
-102567083133;-382,0921597369015
-103449821517;-385,38061647489667
-104340308418;-388,6979386880994
-105177834339;-391,81796587631106
-106059531046;-395,102542065084
-106898475103;-398,22785222157836
-107719569987;-401,28666902706027
-108586092162;-404,5147156789899
-109386466569;-407,4963426925242
-110209543540;-410,5625433474779
-111046358024;-413,6799202263355
-111829432856;-416,5971013009548
-112667342808;-419,7185591161251
-113461190555;-422,67587242648005
-114236343456;-425,56354200839996
-115061651566;-428,6380543038249
-115811390842;-431,43105075508356
-116584119007;-434,30968749150634
-117368206278;-437,2306401953101
-118089032372;-439,9159266501665
-118870057494;-442,82547196000814
-119600523404;-445,5466695278883
-120310146004;-448,1902197152376
-121078354767;-451,05202036723495
-121764503161;-453,60812232270837
-122479922015;-456,2732652388513
-123208063872;-458,98580503463745
-123861716461;-461,42085068300366
-124581212056;-464,10118064284325
-125243590890;-466,56873408704996
-125884259671;-468,9554112814367
-126593347461;-471,5969691462815
-127211251626;-473,8988415375352
-127863586382;-476,3289778754115
-128534254953;-478,8274129964411
-129128208763;-481,0400633625686
-129799117174;-483,5393919572234
-130406062815;-485,80044066533446
-130985197742;-487,957886390388
-131636586345;-490,38449803367257
-132185679160;-492,4300281703472
-132773554802;-494,6200355961919
-133379948113;-496,8790267147124
-133899714720;-498,81530821323395
-134505306923;-501,071314971894
-135043910062;-503,07776802033186
-135555738749;-504,98447846248746
-136150051446;-507,1984657868743
-136629453895;-508,9843790791929
-137149967936;-510,9234449863434
-137690532839;-512,9372061751783
-138135949015;-514,5965107344091
-138676747632;-516,6111425757408
-139146211660;-518,3600323647261
-139588991935;-520,0095174275339
-140124513559;-522,0044909380376
-140536838799;-523,5405221544206
-140996338106;-525,2522904649377
-141477476738;-527,0446715429425
-141855361052;-528,4524003118277
-142336632229;-530,2452751584351
-142738656297;-531,7429315187037
-143108805090;-533,121843226254
-143578292331;-534,8708194904029
-143911237495;-536,111136879772
-144294707469;-537,5396738536656
-144700181471;-539,0501822195947
-144992337791;-540,138549324125
-145398577744;-541,6519110798836
-145721605242;-542,8552822843194
-146012292192;-543,9381755590439
-146414038380;-545,4347967356443
-146672877873;-546,399048987776
-146991118047;-547,5845860205591
-147334513268;-548,8638329058886
-147557089161;-549,692992720753
-147901863409;-550,9773768819869
-148154752990;-551,9194639846683
-148368389521;-552,7153220809996
-148698121291;-553,9436686448753
-148873111167;-554,5955567322671
